中债-信用债总净价(1年以下)指数: CBA02712.CS
中债-信用债总净价(1-3年)指数: CBA02722.CS
中债-信用债总净价(3-5年)指数: CBA02732.CS
中债-信用债总净价(5-7年)指数: CBA02742.CS
中债-综合全价(总值)指数: CBA00203.CS
中债-信用债总净价(7-10年)指数: CBA02752.CS
中债-信用债总净价(10年以上)指数: CBA02762.CS
中债-综合全价(1年以下)指数: CBA00213.CS
中债-综合全价(1-3年)指数: CBA00223.CS
中债-综合全价(3-5年)指数: CBA00233.CS
中债-综合全价(5-7年)指数: CBA00243.CS
中债-综合全价(7-10年)指数: CBA00253.CS
电气设备: 801730
房地产: 801180
汽车: 801880
餐饮旅游: 801210
公用事业: 801160
中债长期债券指数: EMM00070497
中债国债总指数: EMM00070500
中债金融债券总指数: EMM00070503
中债企业债总指数: EMM00070507
中证全债: h11001.CSI
中债-农发行债券总指数财富(3-5年)指数: CBA05131.CS
中债-进出口行债券总指数财富(7-10年)指数: CBA06451.CS
中债-0-3个月国债财富(总值)指数: CBA07301.CS
中债-1-5年进出口行债券财富(总值)指数: CBA07801.CS
中债-3-5年政策性金融债财富(总值)指数: CBA09301.CS
中债-1-5年农发行财富(总值)指数: CBA09101.CS
中债-同业存单总财富(总值)指数: CBA07501.CS
中债-1-5年国开行债券财富(总值)指数: CBA08301.CS
中债-1-5年政策性金融债财富(总值)指数: CBA10301.CS
中债-总财富(总值)指数: CBA00301.CS
中债-国债总净价(5-7年)指数: CBA00642.CS
中债-国债总净价(7-10年)指数: CBA00652.CS
中债-国债总净价(10年以上)指数: CBA00662.CS
中债-综合净价(3-5年)指数: CBA00232.CS
中债-综合净价(5-7年)指数: CBA00242.CS
中债-综合净价(7-10年)指数: CBA00252.CS
中债-综合净价(10年以上)指数: CBA00262.CS
中债-投资级中资美元债财富(1-3年)指数: CBA20121.CS
中债-投资级中资美元债财富(3-5年)指数: CBA20131.CS
中债-投资级中资美元债财富(5-7年)指数: CBA20141.CS
恒生综指: HSCI.HI
黄金价格: AU00.SHF
上证指数: 000001.SH
中债-企业债总财富(总值)指数: CBA02001.CS
沪深300: 000300.SH
小盘成长: 399376.SZ
中证基金: h11020.CSI
食品饮料: 801120
农林牧渔: 801010
钢铁: 801040
中债-长期债券财富(总值)指数: CBA00801.CS
中债-国债总财富(总值)指数: CBA00601.CS
中债-中短期债券财富(总值)指数: CBA00701.CS
中债-国开行债券总财富(总值)指数: CBA02501.CS
中债-综合财富(1-3年)指数: CBA00221.CS
中债-总财富(7-10年)指数: CBA00351.CS
中债-总财富(10年以上)指数: CBA00361.CS
中债-国开行债券总财富(1-3年)指数: CBA02521.CS
中债-国债总财富(10年以上)指数: CBA00661.CS
中债-国债总财富(7-10年)指数: CBA00651.CS
中债-综合财富(7-10年)指数: CBA00251.CS
中债-国开行债券总财富(10年以上)指数: CBA02561.CS
中债-综合财富(10年以上)指数: CBA00261.CS
中债-国债总财富(3-5年)指数: CBA00631.CS
中债-总财富(3-5年)指数: CBA00331.CS
中债-国开行债券总财富(3-5年)指数: CBA02531.CS
中债-综合财富(3-5年)指数: CBA00231.CS
中债-总财富(5-7年)指数: CBA00341.CS
中债-国债总财富(5-7年)指数: CBA00641.CS
中债-综合财富(1年以下)指数: CBA00211.CS
化工: 801030
电子元器件: 801080
医药生物: 801150
有色金属: 801050
纺织服装: 801130
采掘: 801020
家用电器: 801110
综合: 801230
商业贸易: 801200
轻工制造: 801140
